draw_id,date,n1,n2,n3,n4,n5,n6,year,draw_number,draw_position,source_url,draw_no,bonus_number,source
325,,10,11,23,29,46,48,1964,7,1,raw:bst_649_1964.txt,7,,
326,,4,8,28,42,43,47,1964,8,1,raw:bst_649_1964.txt,8,,
327,,4,16,25,38,42,43,1964,9,1,raw:bst_649_1964.txt,9,,
328,,3,11,17,41,43,49,1964,10,1,raw:bst_649_1964.txt,10,,
329,,2,7,12,20,22,27,1964,11,1,raw:bst_649_1964.txt,11,,
330,,17,26,31,42,44,45,1964,12,1,raw:bst_649_1964.txt,12,,
331,,20,25,35,38,39,45,1964,13,1,raw:bst_649_1964.txt,13,,
332,,6,7,11,24,30,45,1964,14,1,raw:bst_649_1964.txt,14,,
333,,4,15,26,28,36,37,1964,15,1,raw:bst_649_1964.txt,15,,
334,,3,5,11,17,21,46,1964,16,1,raw:bst_649_1964.txt,16,,
335,,8,13,27,36,43,45,1964,17,1,raw:bst_649_1964.txt,17,,
336,,4,9,12,17,22,27,1964,18,1,raw:bst_649_1964.txt,18,,
337,,7,11,24,25,35,38,1964,19,1,raw:bst_649_1964.txt,19,,
338,,1,4,30,38,40,47,1964,20,1,raw:bst_649_1964.txt,20,,
339,,16,19,22,28,43,45,1964,21,1,raw:bst_649_1964.txt,21,,
340,,6,18,21,31,36,48,1964,22,1,raw:bst_649_1964.txt,22,,
